titles,category
민주당  새 로고 상징 공개  민주 미래 희망  삼색 깃발,Politics
    갈등 봉합 국면   친윤계  반응 자제하며 갈등설 진화,Politics
 대통령  법무부 장관에 박성재 전 서울고검장 지명,Politics
유엔 인권검증대에 선   향해    탈북민 인권보호  첫 권고,Politics
한동훈  대통령에 깊은 존중 신뢰 지금보다 더 최선 다할 것 ,Politics
민주       서천 만남  맹폭  화재 현장이 정치쇼 소품인가 ,Politics
갈등 고조 이틀만에    윤석열 만난 한동훈    도 인사 ,Politics
민주당 현역 불출마 두자릿수 무주공산 놓고 혼전 예고 이런정치 ,Politics
     한동훈 브로맨스 화해쇼      저급한 인식 ,Politics
한동훈   김 여사  질문에  제 생각 충분히 말씀드렸다 ,Politics
오를 줄 알았는데 비트코인  현물 ETF 출시 후     급락,Economy
설마 내 귀걸이에서도  짝퉁 귀걸이서 발암물질 최대    배 검출,Economy
대형마트 의무휴업 폐지 추진  시민과 현장 반응은 ,Economy
현대커머셜  금융서비스 현대차그룹 물류 생태계로 확장,Economy
올해 설 차례상 비용   만   원 전통시장  대형마트보다     저렴,Economy
 월 기대인플레         개월 만에  최저     소비심리도  개월 연속 상승 ,Economy
엄마  등짝 스매싱  부르는 이 옷 올봄 대세로 뜬다는데,Economy
전국이동통신유통협회  단통법 폐지 찬성 국회 논의 기대 ,Economy
 올해부터 달라지는   경제무역 제도  진출기업 주의해야 ,Economy
김주현 이복현 간담회  PF 부실 증권사 CEO 책임 묻겠다 ,Economy
    만 달러 대북송금  혐의 김성태 쌍방울 전 회장 보석 석방,Social
 콘서트 티켓 팔아요    명에     만원  먹튀     대의 최후,Social
   푸바오  한중 국민 우호 증진에 긍정적 역할 ,Social
폭설 강풍에 제주공항 멈췄다 항공기 무더기 결항에 뱃길도 차질,Social
 이선균 수사 정보 유출  인천청   언론사 압수수색,Social
이경규 장도연  억대 출연료 못 받았다 기획사 대표   횡령 혐의  집유,Social
서울시의회  저출생 대책 소득기준 폐지 추진,Social
아들 가방에  몰래 녹음기  넣은 주호민 부부  아동학대 로 신고당했다,Social
     조끼  입고서 호스끌고 당기고 달라지는 소방관 체력평가,Social
 사건브로커  인사청탁 대가로 뇌물  검찰  현직 치안감 영장 청구,Social
한국계 셀린 송 감독  패스트 라이브즈  아카데미 작품상 후보,Culture
 충북 세종   일  수   영하   도  강추위 지속 오늘의 날씨 ,Culture
  냉동고가 따로 없네  아침 최저     도  강추위 오늘날씨 ,Culture
유인촌  한국은 웹툰 종주국 넷플릭스 같은 플랫폼 만들 것 ,Culture
연예인 마음 건강 챙긴다 하이브  정신과 의사 상주 사내 의원 열어,Culture
 오늘도 강추위 호남 서부 제주에 눈 아침뉴스타임 날씨 ,Culture
피곤해서  에너지 음료  벌컥벌컥 마셨다간 다음날 더  헤롱헤롱  ,Culture
서오릉 장릉  다음 달부터 오전  시 개방,Culture
뉴햄프셔  이번엔  오작동 풍향계  오명 벗나,World
튀르키예  스웨덴 나토 가입 비준   러 헝가리 결정만 남아,World
   조국통일  대헌장 기념탑  허물었다 김정은 지시 빠르게 이행 종합 ,World
 미스일본   위에 귀화 우크라인  알맹이는 일본인 ,World
크렘린궁  푸틴   월 러시아 대선 이후 방북할 듯 ,World
  개국  미 영 후티 추가공습 지지 성명 한국도 포함,World
일왕 외동딸   적십자사에 촉탁사원 취직,World
AP  트럼프   뉴햄프셔에서도 승리   연승 대세론,World
북한제 최신 미사일 나타났다   우크라 방공망  위태위태 ,World
이스라엘  하마스에  개월 휴전 제안 추정   인질 전원 석방 조건,World
  게임 규제책 백지화되나  게임 규제 초안  돌연 삭제,IT
스마트폰 AI 경쟁 신호탄 쏜 갤럭시 유료화 가능성은,IT
LGU   AI 기반 고객 의견 분석 시스템  VOC LAB  개시,IT
삼성이 꼽은 사이버 보안 화두   사기GPT 로 공격 시도 ,IT
과기정통부  전국민 AI 일상화 릴레이 소통  스타트  박윤규 차관 AI반도체 현장 방문,IT
 신발 추천해줘  네이버  생성형AI 활용 광고 시작했다,IT
KT  경로당 어르신 위한  지니 TV 버스정보 알리미  출시,IT
선수 뽑으려 스카우트 파견  이젠 AI가  픽 한다,IT
